,Palabra,cant central,cant cuyo,Total central,Total cuyo,Total central cuyo,Pvalue,fnorm central,fnorm cuyo,maxdif
2287,siome,77.0,3.0,34,2,36,1.3139837567e-08,4.18409473443,0.319067506069,13.1135093823
2586,estacionamientos,3.0,20.0,2,12,14,7.15602752364e-08,0.163016677965,2.12711670713,13.0484606464
2589,paila,3.0,20.0,2,14,16,7.15602752364e-08,0.163016677965,2.12711670713,13.0484606464
2587,mufados,3.0,20.0,3,18,21,7.15602752364e-08,0.163016677965,2.12711670713,13.0484606464
2585,yijaaa,3.0,20.0,2,12,14,7.15602752364e-08,0.163016677965,2.12711670713,13.0484606464
2588,chafa,3.0,20.0,3,2,5,7.15602752364e-08,0.163016677965,2.12711670713,13.0484606464
3657,reportes,51.0,2.0,4,2,6,3.7822680336e-06,2.7712835254,0.212711670713,13.028356724
877,tapitas,178.0,7.0,33,7,40,5.91041412237e-18,9.67232289257,0.744490847495,12.9918627275
222,cobos,23.0,152.0,17,58,75,9.06365540132e-50,1.24979453106,16.1660869742,12.9349957713
6524,virga,25.0,0.0,21,0,21,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6528,chuiii,25.0,0.0,22,0,22,0.000351675277072,1.35847231637,0.106355835356,12.772898749
8124,popping,25.0,1.0,5,1,6,0.00123726841175,1.35847231637,0.106355835356,12.772898749
6535,chipo,25.0,0.0,16,0,16,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6543,deán,25.0,0.0,12,0,12,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6542,selectividad,25.0,0.0,7,0,7,0.000351675277072,1.35847231637,0.106355835356,12.772898749
8123,altisima,25.0,1.0,23,1,24,0.00123726841175,1.35847231637,0.106355835356,12.772898749
6536,geliot,25.0,0.0,1,0,1,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6525,tutin,25.0,0.0,10,0,10,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6526,fvt,25.0,0.0,17,0,17,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6527,hdo,25.0,0.0,13,0,13,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6529,suscrito,25.0,0.0,1,0,1,0.000351675277072,1.35847231637,0.106355835356,12.772898749
8127,varillas,25.0,1.0,13,1,14,0.00123726841175,1.35847231637,0.106355835356,12.772898749
8122,braza,25.0,1.0,20,1,21,0.00123726841175,1.35847231637,0.106355835356,12.772898749
6530,fbpc,25.0,0.0,4,0,4,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6531,amancio,25.0,0.0,1,0,1,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6537,luco,25.0,0.0,1,0,1,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6532,bajadora,25.0,0.0,11,0,11,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6533,nemer,25.0,0.0,1,0,1,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6538,chupina,25.0,0.0,22,0,22,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6539,buenasnoches,25.0,0.0,8,0,8,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6540,hopi,25.0,0.0,2,0,2,0.000351675277072,1.35847231637,0.106355835356,12.772898749
6541,baseballs,25.0,0.0,1,0,1,0.000351675277072,1.35847231637,0.106355835356,12.772898749
8125,boludasa,25.0,1.0,20,1,21,0.00123726841175,1.35847231637,0.106355835356,12.772898749
8126,trulalero,25.0,1.0,2,1,3,0.00123726841175,1.35847231637,0.106355835356,12.772898749
8128,spain,25.0,1.0,12,1,13,0.00123726841175,1.35847231637,0.106355835356,12.772898749
6534,riotercerenses,25.0,0.0,9,0,9,0.000351675277072,1.35847231637,0.106355835356,12.772898749
8129,mayu,25.0,1.0,15,1,16,0.00123726841175,1.35847231637,0.106355835356,12.772898749
8130,ovalo,25.0,1.0,4,1,5,0.00123726841175,1.35847231637,0.106355835356,12.772898749
6546,catu,25.0,0.0,15,0,15,0.000351675277072,1.35847231637,0.106355835356,12.772898749
8131,viralizar,25.0,1.0,4,1,5,0.00123726841175,1.35847231637,0.106355835356,12.772898749
8132,rev,25.0,1.0,10,1,11,0.00123726841175,1.35847231637,0.106355835356,12.772898749
8133,forraso,25.0,1.0,25,1,26,0.00123726841175,1.35847231637,0.106355835356,12.772898749
6544,hasan,25.0,0.0,2,0,2,0.000351675277072,1.35847231637,0.106355835356,12.772898749
8134,patotas,25.0,1.0,9,1,10,0.00123726841175,1.35847231637,0.106355835356,12.772898749
8135,mely,25.0,1.0,15,1,16,0.00123726841175,1.35847231637,0.106355835356,12.772898749
6545,ñaca,25.0,0.0,4,0,4,0.000351675277072,1.35847231637,0.106355835356,12.772898749
1723,lú,100.0,4.0,2,3,5,1.04494316315e-10,5.43388926549,0.425423341426,12.772898749
1722,quality,100.0,4.0,51,2,53,1.04494316315e-10,5.43388926549,0.425423341426,12.772898749
3725,lagooo,50.0,2.0,33,2,35,4.92120632835e-06,2.71694463274,0.212711670713,12.772898749
3724,abusa,50.0,2.0,47,2,49,4.92120632835e-06,2.71694463274,0.212711670713,12.772898749
3723,cg,50.0,2.0,30,2,32,4.92120632835e-06,2.71694463274,0.212711670713,12.772898749
3722,lukie,50.0,2.0,27,2,29,4.92120632835e-06,2.71694463274,0.212711670713,12.772898749
372,manzano,16.0,104.0,10,42,52,1.94399836744e-34,0.869422282478,11.0610068771,12.7222491303
1245,chucha,6.0,39.0,5,14,19,6.66535688511e-14,0.326033355929,4.1478775789,12.7222491302
1942,desamparados,4.0,26.0,4,10,14,9.41242655235e-10,0.21735557062,2.76525171927,12.7222491302
4240,friendd,2.0,13.0,2,12,14,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4246,contingencias,2.0,13.0,2,10,12,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4241,fracking,2.0,13.0,2,6,8,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4242,crotooo,2.0,13.0,2,7,9,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4243,varietales,2.0,13.0,2,3,5,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4244,envivo,2.0,13.0,2,1,3,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4245,aciar,2.0,13.0,1,7,8,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4236,distrital,2.0,13.0,2,10,12,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4237,dinos,2.0,13.0,2,7,9,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4239,autobomba,2.0,13.0,1,6,7,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4234,itza,2.0,13.0,1,2,3,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4233,penosos,2.0,13.0,2,10,12,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4232,mestraña,2.0,13.0,2,9,11,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4231,matteo,2.0,13.0,1,4,5,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4238,rotando,2.0,13.0,2,3,5,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
4235,catequista,2.0,13.0,2,10,12,1.51268372744e-05,0.10867778531,1.38262585963,12.7222491302
1354,chamame,124.0,5.0,19,5,24,6.58202691338e-13,6.7380226892,0.531779176782,12.670715559
356,egreso,372.0,15.0,177,12,189,1.40237423899e-35,20.2140680676,1.59533753035,12.670715559
2425,cursada,74.0,3.0,52,2,54,2.86425327666e-08,4.02107805646,0.319067506069,12.6025934323
354,quinientos,17.0,109.0,15,10,25,7.21431557083e-36,0.923761175133,11.5927860539,12.5495489159
3818,chavales,49.0,2.0,13,2,15,6.40385908986e-06,2.66260574009,0.212711670713,12.517440774
3820,tala,49.0,2.0,22,2,24,6.40385908986e-06,2.66260574009,0.212711670713,12.517440774
3819,parro,49.0,2.0,31,2,33,6.40385908986e-06,2.66260574009,0.212711670713,12.517440774
2471,workout,73.0,3.0,4,1,5,3.71401553794e-08,3.96673916381,0.319067506069,12.4322881157
2470,cynthia,73.0,3.0,30,3,33,3.71401553794e-08,3.96673916381,0.319067506069,12.4322881157
1293,casssi,6.0,38.0,6,21,27,1.73113311675e-13,0.326033355929,4.04152174355,12.3960376141
1292,guanaca,6.0,38.0,6,10,16,1.73113311675e-13,0.326033355929,4.04152174355,12.3960376141
2787,null,3.0,19.0,2,3,5,1.88828821219e-07,0.163016677965,2.02076087177,12.396037614
2788,multitudinario,3.0,19.0,3,10,13,1.88828821219e-07,0.163016677965,2.02076087177,12.396037614
2791,enfrentó,3.0,19.0,3,5,8,1.88828821219e-07,0.163016677965,2.02076087177,12.396037614
2792,manyin,3.0,19.0,2,11,13,1.88828821219e-07,0.163016677965,2.02076087177,12.396037614
2789,telekino,3.0,19.0,3,10,13,1.88828821219e-07,0.163016677965,2.02076087177,12.396037614
2790,venderán,3.0,19.0,3,7,10,1.88828821219e-07,0.163016677965,2.02076087177,12.396037614
2793,rv,3.0,19.0,2,3,5,1.88828821219e-07,0.163016677965,2.02076087177,12.396037614
217,maipu,25.0,158.0,17,82,99,5.4909139178e-51,1.35847231637,16.8042219863,12.3699406928
8602,coutinho,24.0,1.0,9,1,10,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8601,jacinto,24.0,1.0,18,1,19,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
6731,alim,24.0,0.0,3,0,3,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
8603,mejorcita,24.0,1.0,13,1,14,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8604,flashen,24.0,1.0,22,1,23,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8599,pruébalo,24.0,1.0,8,1,9,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8598,shift,24.0,1.0,6,1,7,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
6729,tvja,24.0,0.0,8,0,8,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
6730,sanluiseña,24.0,0.0,2,0,2,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
6743,hijitus,24.0,0.0,5,0,5,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
6742,soltameee,24.0,0.0,20,0,20,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
6733,yofre,24.0,0.0,12,0,12,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
6741,carasa,24.0,0.0,17,0,17,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
6732,cajeteo,24.0,0.0,19,0,19,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
8606,ㅅ,24.0,1.0,3,1,4,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
6740,gla,24.0,0.0,4,0,4,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
6739,thomi,24.0,0.0,17,0,17,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
6734,neno,24.0,0.0,3,0,3,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
6738,lavozcomar,24.0,0.0,4,0,4,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
6737,estacionario,24.0,0.0,2,0,2,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
6736,return,24.0,0.0,19,0,19,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
6735,córdobahttps,24.0,0.0,2,0,2,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
8605,tts,24.0,1.0,7,1,8,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8600,noze,24.0,1.0,6,1,7,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8607,consíguelo,24.0,1.0,1,1,2,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8613,dome,24.0,1.0,14,1,15,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8617,mastil,24.0,1.0,23,1,24,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8616,opaaa,24.0,1.0,14,1,15,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8615,josecita,24.0,1.0,2,1,3,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8608,reportaron,24.0,1.0,2,1,3,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
6727,sherman,24.0,0.0,13,0,13,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
8614,sonrias,24.0,1.0,20,1,21,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
6728,crh,24.0,0.0,1,0,1,0.000462277430059,1.30413342372,0.106355835356,12.2619827991
8610,jente,24.0,1.0,12,1,13,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8612,establo,24.0,1.0,11,1,12,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8611,justi,24.0,1.0,7,1,8,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
8609,cherri,24.0,1.0,15,1,16,0.00162623922536,1.30413342372,0.106355835356,12.2619827991
2503,twitcam,72.0,3.0,19,2,21,4.81602399928e-08,3.91240027115,0.319067506069,12.261982799
3926,nticx,48.0,2.0,34,2,36,8.3342078756e-06,2.60826684743,0.212711670713,12.261982799
3927,lauren,48.0,2.0,10,2,12,8.3342078756e-06,2.60826684743,0.212711670713,12.261982799
583,velázquez,12.0,75.0,4,4,8,5.16907430007e-25,0.652066711859,7.97668765174,12.232931856
2061,destacó,4.0,25.0,4,10,14,2.46313994504e-09,0.21735557062,2.65889588391,12.232931856
2062,mansur,4.0,25.0,4,11,15,2.46313994504e-09,0.21735557062,2.65889588391,12.232931856
733,asa,10.0,62.0,9,48,57,6.59849557089e-21,0.543388926549,6.5940617921,12.1350684012
4098,pini,47.0,2.0,21,2,23,1.0847777234e-05,2.55392795478,0.212711670713,12.006524824
1878,cuartel,94.0,4.0,23,4,27,4.91162037892e-10,5.10785590956,0.425423341426,12.006524824
4097,pw,47.0,2.0,25,2,27,1.0847777234e-05,2.55392795478,0.212711670713,12.006524824
4099,chinchon,47.0,2.0,40,2,42,1.0847777234e-05,2.55392795478,0.212711670713,12.006524824
955,mufado,8.0,49.0,7,38,45,8.60800501695e-17,0.434711141239,5.21143593247,11.9882732189
64,fahlo,76.0,465.0,1,2,3,6.39835064333e-145,4.12975584177,49.4554634408,11.9753964485
985,lucre,164.0,7.0,29,5,34,2.11267466698e-16,8.9115783954,0.744490847495,11.9700308276
840,flay,9.0,55.0,7,42,49,1.20574296157e-18,0.489050033894,5.84957094461,11.9610889259
550,uco,13.0,79.0,4,27,31,4.86531505175e-26,0.706405604513,8.40211099316,11.8941737431
498,estatales,14.0,85.0,10,18,28,6.95269662829e-28,0.760744497168,9.0402460053,11.8834195173
1908,castelar,93.0,4.0,62,3,65,6.35692427396e-10,5.0535170169,0.425423341426,11.8787958365
7076,naia,23.0,0.0,3,0,3,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7075,habeis,23.0,0.0,9,0,9,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7074,chamamecera,23.0,0.0,3,0,3,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7073,viri,23.0,0.0,7,0,7,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7072,aveldaño,23.0,0.0,9,0,9,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7071,reniegue,23.0,0.0,6,0,6,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7077,bestu,23.0,0.0,11,0,11,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7070,giacomino,23.0,0.0,13,0,13,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7079,ratti,23.0,0.0,4,0,4,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7078,cococha,23.0,0.0,14,0,14,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
9395,catan,23.0,1.0,10,1,11,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
7080,maico,23.0,0.0,10,0,10,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7081,chairo,23.0,0.0,1,0,1,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7082,alcira,23.0,0.0,11,0,11,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7083,forrasa,23.0,0.0,21,0,21,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7084,tiragente,23.0,0.0,16,0,16,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7085,quilombaso,23.0,0.0,23,0,23,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7087,krsna,23.0,0.0,1,0,1,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7088,choay,23.0,0.0,11,0,11,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7089,riotercero,23.0,0.0,9,0,9,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7090,abiertaste,23.0,0.0,1,0,1,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7091,dahaus,23.0,0.0,2,0,2,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7092,tulumba,23.0,0.0,8,0,8,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7093,chuzito,23.0,0.0,1,0,1,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7068,bndiga,23.0,0.0,1,0,1,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7069,crelech,23.0,0.0,1,0,1,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7086,berro,23.0,0.0,9,0,9,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7067,cagusto,23.0,0.0,11,0,11,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
9394,miqa,23.0,1.0,4,1,5,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9379,quebradas,23.0,1.0,22,1,23,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9380,sabéis,23.0,1.0,8,1,9,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9381,leg,23.0,1.0,8,1,9,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9382,chufa,23.0,1.0,3,1,4,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9383,bromita,23.0,1.0,17,1,18,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9384,javito,23.0,1.0,6,1,7,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9385,vam,23.0,1.0,11,1,12,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9386,neil,23.0,1.0,18,1,19,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9387,jajajajajajajajajajajajjaja,23.0,1.0,7,1,8,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9390,milanesio,23.0,1.0,9,1,10,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9378,bepi,23.0,1.0,6,1,7,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9391,topos,23.0,1.0,15,1,16,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9392,lb,23.0,1.0,17,1,18,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
9393,potraaa,23.0,1.0,20,1,21,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
7066,esquel,23.0,0.0,6,0,6,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7064,riojana,23.0,0.0,11,0,11,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7061,dlen,23.0,0.0,14,0,14,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7063,grippo,23.0,0.0,1,0,1,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7058,oxn,23.0,0.0,13,0,13,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
9389,rocka,23.0,1.0,5,1,6,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
7062,comba,23.0,0.0,15,0,15,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7059,paglia,23.0,0.0,5,0,5,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
9388,vosa,23.0,1.0,17,1,18,0.00213891515724,1.24979453106,0.106355835356,11.7510668491
7065,masse,23.0,0.0,10,0,10,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7057,cánovas,23.0,0.0,1,0,1,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
7060,buscalas,23.0,0.0,8,0,8,0.00060808055707,1.24979453106,0.106355835356,11.7510668491
2636,grin,69.0,3.0,4,3,7,1.05026590228e-07,3.74938359319,0.319067506069,11.7510668491
4193,trula,46.0,2.0,22,2,24,1.41212327324e-05,2.49958906212,0.212711670713,11.751066849
4194,pobechita,46.0,2.0,4,2,6,1.41212327324e-05,2.49958906212,0.212711670713,11.751066849
131,oreiro,44.0,264.0,33,19,52,1.32485598447e-82,2.39091127681,28.0779405341,11.7436145818
1169,cuñi,7.0,42.0,7,32,39,1.59874179399e-14,0.380372248584,4.46694508497,11.7436145818
986,autonomía,8.0,48.0,8,11,19,2.21941804321e-16,0.434711141239,5.10508009711,11.7436145818
7300,pizzella,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7320,malbernat,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
10482,bundes,1.0,6.0,1,2,3,0.0037016590743,0.0543388926549,0.638135012139,11.7436145818
7299,sorrentino,0.0,6.0,0,5,5,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7298,idóla,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
10479,crik,1.0,6.0,1,2,3,0.0037016590743,0.0543388926549,0.638135012139,11.7436145818
7302,yastaa,0.0,6.0,0,6,6,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7297,zarpaaada,0.0,6.0,0,5,5,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7296,mendoporteño,0.0,6.0,0,5,5,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7295,pasip,0.0,6.0,0,3,3,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7294,oho,0.0,6.0,0,3,3,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7293,zuccardi,0.0,6.0,0,6,6,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7301,chapanay,0.0,6.0,0,5,5,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
10483,mannnsas,1.0,6.0,1,6,7,0.0037016590743,0.0543388926549,0.638135012139,11.7436145818
7303,yoco,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7313,viern,0.0,6.0,0,2,2,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
10478,lunfardo,1.0,6.0,1,4,5,0.0037016590743,0.0543388926549,0.638135012139,11.7436145818
10477,lcoo,1.0,6.0,1,4,5,0.0037016590743,0.0543388926549,0.638135012139,11.7436145818
7318,cusinato,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7319,rdc,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7316,frutícola,0.0,6.0,0,6,6,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7315,oballes,0.0,6.0,0,6,6,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7314,yanu,0.0,6.0,0,2,2,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7291,ffyl,0.0,6.0,0,2,2,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7312,alojada,0.0,6.0,0,5,5,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7304,partesss,0.0,6.0,0,6,6,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7311,mannso,0.0,6.0,0,6,6,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7310,guillén,0.0,6.0,0,2,2,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7309,montolivo,0.0,6.0,0,2,2,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7308,talcahuano,0.0,6.0,0,2,2,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7307,ñiaaa,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7306,veggie,0.0,6.0,0,3,3,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7317,pablini,0.0,6.0,0,2,2,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7305,torditas,0.0,6.0,0,2,2,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7292,bondino,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7282,mongolia,0.0,6.0,0,5,5,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7290,bece,0.0,6.0,0,2,2,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7289,koniec,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7265,tiagojnob,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7264,goudge,0.0,6.0,0,5,5,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
10481,ávisame,1.0,6.0,1,1,2,0.0037016590743,0.0543388926549,0.638135012139,11.7436145818
10480,retwitteó,1.0,6.0,1,5,6,0.0037016590743,0.0543388926549,0.638135012139,11.7436145818
7263,saporiti,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7262,hospitalizado,0.0,6.0,0,4,4,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7261,oxxx,0.0,6.0,0,3,3,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7260,mojón,0.0,6.0,0,5,5,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7259,mompirri,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7258,tentadoo,0.0,6.0,0,5,5,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7257,representarán,0.0,6.0,0,4,4,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7256,wishhh,0.0,6.0,0,4,4,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
10440,gateaste,1.0,6.0,1,6,7,0.0037016590743,0.0543388926549,0.638135012139,11.7436145818
10439,correrr,1.0,6.0,1,4,5,0.0037016590743,0.0543388926549,0.638135012139,11.7436145818
10438,malenaaa,1.0,6.0,1,3,4,0.0037016590743,0.0543388926549,0.638135012139,11.7436145818
7255,capacitan,0.0,6.0,0,4,4,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7254,cremaciones,0.0,6.0,0,3,3,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7253,ordinariodeuteronomio,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7252,bordano,0.0,6.0,0,3,3,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7251,cibersalud,0.0,6.0,0,3,3,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7250,photoshoot,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7266,carilooo,0.0,6.0,0,5,5,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7267,gram,0.0,6.0,0,5,5,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7268,cámera,0.0,6.0,0,2,2,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7280,brancato,0.0,6.0,0,2,2,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
10441,enamorarlo,1.0,6.0,1,6,7,0.0037016590743,0.0543388926549,0.638135012139,11.7436145818
7288,carreame,0.0,6.0,0,2,2,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7287,taunus,0.0,6.0,0,4,4,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
7286,chaboncin,0.0,6.0,0,1,1,0.000610522545044,0.0543388926549,0.638135012139,11.7436145818
