,Palabra,cant cuyo,cant guaranitica,Total cuyo,Total guaranitica,Total cuyo guaranitica,Pvalue,fnorm cuyo,fnorm guaranitica,maxdif
9533,ldcm,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
6776,canet,8.0,2.0,4,2,6,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6777,chamuyarte,8.0,2.0,8,2,10,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6778,teletón,8.0,2.0,1,2,3,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6779,asoció,8.0,2.0,3,2,5,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
9717,listtos,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
6781,giaquinta,8.0,2.0,2,2,4,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6782,ambrosini,8.0,2.0,5,2,7,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6783,flavi,8.0,2.0,3,2,5,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6784,recomendá,8.0,2.0,1,2,3,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6785,leparc,8.0,2.0,6,2,8,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6786,guachhh,8.0,2.0,7,2,9,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6787,alejandría,8.0,2.0,4,2,6,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6788,diooorrr,8.0,2.0,3,1,4,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6789,yiiijaaa,8.0,2.0,6,2,8,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6790,colín,8.0,2.0,7,2,9,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6791,galia,8.0,2.0,5,1,6,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6792,aturdir,8.0,2.0,6,2,8,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
6793,sánguche,8.0,2.0,5,2,7,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
9538,chamsi,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9540,roggerone,4.0,0.0,3,0,3,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9565,lafalla,4.0,0.0,4,0,4,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9541,malpegué,4.0,0.0,4,0,4,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9564,epre,4.0,0.0,4,0,4,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9563,merkén,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9562,pelotuo,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9561,whot,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9560,reculiada,4.0,0.0,4,0,4,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9559,risposta,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9558,antiminera,4.0,0.0,2,0,2,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9557,marleyy,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9556,holasoysteve,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9555,felisberto,4.0,0.0,2,0,2,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9554,canica,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9553,granaaa,4.0,0.0,2,0,2,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9552,sobrestock,4.0,0.0,4,0,4,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9551,vayamosno,4.0,0.0,4,0,4,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9550,guaaacho,4.0,0.0,4,0,4,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9549,qleado,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9548,ampliarán,4.0,0.0,3,0,3,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9547,champañeta,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9546,cristinet,4.0,0.0,2,0,2,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9545,kolton,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9544,bnacional,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9543,abrian,4.0,0.0,4,0,4,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9542,marboro,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
6780,gatto,8.0,2.0,4,2,6,2.17747554413e-05,0.850846682852,0.0645005032652,13.1913185135
9801,blankinegra,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9718,yijaleee,4.0,0.0,2,0,2,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9719,fane,4.0,0.0,4,0,4,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
15228,trobbiani,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15229,felicitacionees,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15230,maco,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15231,cirito,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15232,krla,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15233,llenadores,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15234,sufrientes,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15235,consultan,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15236,halperin,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15237,segurola,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15238,drogandome,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15239,turqui,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15240,ahke,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15241,invitacionn,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15242,wendys,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15243,terrero,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15244,cssa,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15245,aceras,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15246,tejerina,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15247,ajado,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15248,maternales,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15249,gelabert,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15250,permanent,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15227,bailoteooo,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15226,cuter,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15225,linds,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15212,brunch,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15202,minitahhh,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15203,berreteaga,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15204,aceptemoslo,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15205,avismo,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15206,crotta,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15207,ándale,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15208,canco,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15209,navio,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15210,aróstegui,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15211,jaitt,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15213,barbera,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15224,lanooo,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15214,jeejeje,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15215,atomizar,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15216,achís,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15217,guadiii,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15218,probarlas,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15219,nesteruk,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15220,multarán,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15221,antifiesta,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15222,mosset,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15223,soretitos,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15251,ejm,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15252,distintooo,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15253,construidos,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15290,pokemons,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15280,adormeciendo,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15281,sentara,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15282,osvi,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15283,peleandose,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15284,tortafritasss,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15285,tonigth,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15286,relajadisima,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15287,panci,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15288,banelco,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15289,agregarlos,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15291,corregime,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15278,jaure,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15292,ssiempre,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15293,collie,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15294,comprala,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15295,entregarles,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15296,cavas,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15297,corretear,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15298,cruzoo,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15299,diaggg,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15300,tantisimas,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15301,convensa,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15279,visttt,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15277,empapé,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15254,dobleteee,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15265,candelitaa,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15255,catalinaaa,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15256,inhabil,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15257,vacioo,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15258,fraudeee,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15259,mantitas,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15260,podís,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15261,necessities,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15262,distes,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15263,electivos,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15264,bultero,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15266,bacio,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15276,loguito,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15267,candelaa,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15268,cosano,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15269,amigueta,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15270,barbilla,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15271,gems,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15272,tierrita,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15273,garrooon,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15274,carlyyy,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15275,uachos,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
591,descompostura,80.0,20.0,51,17,68,4.22176966894e-41,8.50846682852,0.645005032652,13.1913185135
15201,iruya,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15200,croce,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15199,enamoraooo,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15107,jajajjaka,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15116,deleitamos,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15115,sorteen,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15114,puudraa,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15113,peripecias,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15112,irrebatible,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15111,iamando,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15145,christie,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15110,invitadaaa,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15109,nojado,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15108,reactivará,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15106,varieté,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15118,melódica,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15105,sepasss,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15146,tipin,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15147,alternate,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15148,hartado,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15149,giol,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15150,calao,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15151,jejejjejeje,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15152,escabiarse,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15153,juanel,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15154,mantenelo,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15117,rubiola,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15119,buches,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15156,hagamosla,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15132,plum,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15142,paladares,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15141,montoto,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15140,infradotadas,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15139,canduuu,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15138,desayunada,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15137,estuvimosss,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15136,troppo,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15135,impaktadah,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15134,talibana,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15133,pisalo,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15131,jajajajajajajjajajajajajajjaja,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15120,roberttt,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15130,recoleccion,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15129,sorprendeee,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15128,gascon,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15127,tintorería,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15126,cocktails,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15125,bolichon,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15124,tentadisimo,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15123,nimporta,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15122,fauci,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15121,danielli,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15155,ideológicos,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15157,semestres,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15198,semiótica,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15186,embocaron,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15176,adaptas,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15177,retroactivos,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15178,elber,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15179,folclor,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15180,vuelque,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15181,salvás,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15182,famositos,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15183,soltes,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15184,decimotercera,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15185,ajajajaajaja,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15187,pinochet,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15174,nso,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15188,defenestrando,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15189,tommm,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15190,stern,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15191,preludio,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15192,baaaby,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15193,awanteee,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15194,univercity,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15195,descendí,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15196,gaviglio,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15197,acaros,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15175,dartela,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15173,empesaron,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15158,correspondia,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15168,plischuuu,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15159,penurias,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15104,terrores,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15160,guaymas,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15161,guriseee,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15162,descendemos,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15163,literaal,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15164,sebitaaa,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15165,mañosaa,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15166,swarm,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15167,retwitteaste,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15169,quemalo,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15172,quedamooos,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15170,girará,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15103,farmer,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15171,petuuu,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15102,soldada,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15101,seañ,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15100,copiale,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15099,sprit,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15098,kreo,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15097,ańos,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15096,poiaaa,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15302,esqe,4.0,1.0,3,1,4,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15303,truenitos,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15304,diganmé,4.0,1.0,2,1,3,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
9777,coмo,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9785,autam,4.0,0.0,3,0,3,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9784,nandoknarp,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9783,mercadopago,4.0,0.0,2,0,2,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9782,popiis,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9781,titino,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9780,zaleski,4.0,0.0,1,0,1,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9779,pasarmelo,4.0,0.0,4,0,4,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9778,poccco,4.0,0.0,4,0,4,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
15399,complejooos,4.0,1.0,1,1,2,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
15400,ridiculamente,4.0,1.0,4,1,5,0.002679631364,0.425423341426,0.0322502516326,13.1913185135
9776,locaas,4.0,0.0,3,0,3,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
9787,desmedidos,4.0,0.0,4,0,4,0.000281248756278,0.425423341426,0.0322502516326,13.1913185135
