palabra,pvalorBootstrap
chivilcoy,0.000499750124938
oberá,0.000499750124938
ushuaia,0.000499750124938
ush,0.000499750124938
obera,0.000499750124938
breñas,0.000499750124938
viedma,0.000499750124938
bragado,0.000499750124938
logroño,0.000499750124938
nqn,0.000499750124938
tdf,0.000499750124938
riojanos,0.000499750124938
charata,0.000499750124938
chivil,0.000499750124938
cldo,0.000499750124938
blv,0.000499750124938
rioja,0.000499750124938
choele,0.000499750124938
tolhuin,0.000499750124938
rada,0.000499750124938
fueguinos,0.000499750124938
tilly,0.000499750124938
comodoro,0.000499750124938
sciurano,0.000499750124938
plottier,0.000499750124938
fsa,0.000499750124938
chilecito,0.000499750124938
patagones,0.000499750124938
merlo,0.000499750124938
nox,0.000499750124938
concordia,0.000499750124938
gallegos,0.000499750124938
vallerga,0.000499750124938
posadas,0.000499750124938
aijue,0.000499750124938
ctes,0.000499750124938
fueguino,0.000499750124938
ipauss,0.000499750124938
riojana,0.000499750124938
unlar,0.000499750124938
riojano,0.000499750124938
sgo,0.000499750124938
toay,0.000499750124938
rg,0.000499750124938
chamical,0.000499750124938
lamarque,0.000499750124938
casilda,0.000499750124938
mnes,0.000499750124938
catamarca,0.000499750124938
jei,0.000499750124938
chepes,0.000499750124938
embalse,0.000499750124938
akil,0.000499750124938
beder,0.000499750124938
formosa,0.000499750124938
mdt,0.000499750124938
cafayate,0.000499750124938
tafi,0.000499750124938
malpegue,0.000499750124938
jumeal,0.000499750124938
nae,0.000499750124938
quitilipi,0.000499750124938
trapani,0.000499750124938
cdelu,0.000499750124938
neuquén,0.000499750124938
jujuy,0.000499750124938
kraka,0.000499750124938
unju,0.000499750124938
rodeo,0.000499750124938
afrah,0.000499750124938
resis,0.000499750124938
quedarla,0.000499750124938
neuquen,0.000499750124938
tkt,0.000499750124938
exxim,0.000499750124938
otc,0.000499750124938
argel,0.000499750124938
aimogasta,0.000499750124938
mitai,0.000499750124938
kryon,0.000499750124938
famatina,0.000499750124938
sanra,0.000499750124938
unsa,0.000499750124938
tere,0.000499750124938
bowen,0.000499750124938
sanagasta,0.000499750124938
mza,0.000499750124938
cipo,0.000499750124938
comodorense,0.000499750124938
clda,0.000499750124938
jujeño,0.000499750124938
epe,0.000499750124938
zonda,0.000499750124938
ozono,0.000499750124938
kalima,0.000499750124938
wha,0.000499750124938
fueguina,0.000499750124938
chimbas,0.000499750124938
fellner,0.000499750124938
anga,0.000499750124938
jujeños,0.000499750124938
colombi,0.000499750124938
vendimia,0.000499750124938
reviro,0.000499750124938
chipitas,0.000499750124938
taj,0.000499750124938
calafate,0.000499750124938
iskra,0.000499750124938
quintela,0.000499750124938
poec,0.000499750124938
calahorra,0.000499750124938
yarca,0.000499750124938
eldorado,0.000499750124938
malal,0.000499750124938
anguil,0.000499750124938
lb,0.000499750124938
jujeña,0.000499750124938
nautico,0.000499750124938
alvearense,0.000499750124938
zapala,0.000499750124938
